series,count
[BT01] VG-BT01 : Descent of the King of Knights,79
[BT02] VG-BT02 : Onslaught of Dragon Souls,80
[BT03] VG-BT03 : Demonic Lord Invasion,80
[BT04] VG-BT04 : Eclipse of Illusionary Shadows,80
[BT05] VG-BT05 : Awakening of Twin Blades,80
[BT06] VG-BT06 : Breaker of Limits,102
[BT07] VG-BT07 : Rampage of the Beast King,102
[BT08] VG-BT08 : Blue Storm Armada,102
[BT09] VG-BT09 : Clash of the Knights & Dragons,102
[BT10] VG-BT10 : Triumphant Return of the King of Knights,102
[BT11] VG-BT11 : Seal Dragons Unleashed,114
[BT12] VG-BT12 : Binding Force of the Black Rings,113
[BT13] VG-BT13 : Catastrophic Outbreak,114
[BT14] VG-BT14 : Brilliant Strike,112
[BT15] VG-BT15 : Infinite Rebirth,115
[BT16] VG-BT16 : Legion of Dragons & Blades,102
[BT17] VG-BT17 : Blazing Perdition,102
[CH-TD01] VG-CH-TD01 : Cyber Heroes Trial Deck 1,15
[CH-TD02] VG-CH-TD02 : Cyber Heroes Trial Deck 2,15
[CH-TD03] VG-CH-TD03 : Cyber Heroes Trial Deck 3,15
[CH-TD04] VG-CH-TD04 : Cyber Heroes Trial Deck 4,15
[D-BT01] D Booster Set 01: Genesis of the Five Greats,121
[D-BT02] D Booster Set 02: A Brush with the Legends,120
[D-BT03] D Booster Set 03: Advance of Intertwined Stars,120
[D-BT04] D Booster Set 04: Awakening of Chakrabarthi,120
[D-BT05] D Booster Set 05: Triumphant Return of the Brave Heroes,92
[D-BT06] D Booster Set 06: Blazing Dragon Reborn,105
[D-BT07] D Booster Set 07: Raging Flames Against Emerald Storm,90
[D-BT08] D Booster Set 08: Minerva Rising,93
[D-BT09] D Booster Set 09: Dragontree Invasion,103
[D-BT10] D Booster Set 10: Dragon Masquerade,97
[D-LBT01] D Lyrical Booster Set 01: Lyrical Melody,120
[D-LBT02] D Lyrical Booster Set 02: Lyrical Monasterio ~It's a New School Term!~,80
[D-LBT03] D Lyrical Booster Set 03: Lyrical Monasterio ~Summertime Memories!~,108
[D-LTD01] D Lyrical Trial Deck 01: Ahoy! Lyrical Monasterio!,15
[D-MBT01] D Masked Rider Booster Pack 01 : Walk the path of Science and Heaven,40
[D-MTD01] D Masked Rider Trial Deck 01 : Masked Rider Kabuto,17
[D-MTD02] D Masked Rider Trial Deck 02 : Masked Rider Build,27
[D-MTD03] D Masked Rider Trial Deck 03 : Masked Rider Ryuki,17
[D-SD01] D Start Deck 01: Yu-yu Kondo -Holy Dragon-,15
[D-SD02] D Start Deck 02: Danji Momoyama -Tyrant Tiger-,15
[D-SD03] D Start Deck 03: Tohya Ebata -Apex Ruler-,15
[D-SD04] D Start Deck 04: Megumi Okura -Sylvan King-,15
[D-SD05] D Start Deck 05: Tomari Seto -Aurora Valkyrie-,15
[D-SD06] D Start Deck 06: Mirei Minae -Sealed Blaze Maiden-,15
[D-SS01] D Special Series 01: Festival Collection 2021,10
[D-SS03] D Special Series 03: Stride Deckset Chronojet,19
[D-SS04] D Special Series 04: Stride Deckset Messiah,19
[D-SS05] D Special Series 05: Festival Booster 2023,95
[D-TD01] D Trial Deck 01: Urara Haneyama -Bandmaster of Blossoming Bonds-,18
[D-TD02] D Trial Deck 02: Michiru Hazama -Demonic Jewel Dragon of the Four Flames-,18
[D-TD03] D Trial Deck 03: Raika Koshiba -Skyfall Executors-,18
[D-TPR] D-TH Promo Card,122
[D-VS01] V Special Series 01: V CLAN COLLECTION Vol.1,48
[D-VS02] V Special Series 02: V CLAN COLLECTION Vol.2,48
[EB01] VG-EB01 : Comic Style Vol.1,35
[EB02] VG-EB02 : Banquet of Divas,35
[EB03] VG-EB03 : Cavalry of Black Steel,35
[EB04] VG-EB04 : Infinite Phantom Legion,35
[EB05] VG-EB05 : Celestial Valkyries,35
[EB06] VG-EB06 : Dazzling Divas,41
[EB07] VG-EB07 : Mystical Magus,35
[EB08] VG-EB08 : Champions of the Cosmos,35
[EB09] VG-EB09 : Divine Dragon Progression,35
[EB10] VG-EB10 : Divas Duet,86
[EB11] VG-EB11 : Requiem at Dusk,35
[EB12] VG-EB12 : Waltz of the Goddess,35
[FC01] VG-FC01 : Fighter's Collection 2013,26
[G-BT01] VG-G-BT01:Generation Stride,103
[G-BT02] VG-G-BT02 : Soaring Ascent of Gale & Blossom,103
[G-BT03] VG-G-BT03 : Sovereign Star Dragon,104
[G-BT04] VG-G-BT04 : Soul Strike Against The Supreme,104
[G-BT05] VG-G-BT05 : Moonlit Dragonfang,104
[G-BT06] VG-G-BT06 : Transcension of Blade and Blossom,105
[G-BT07] VG-G-BT07 : Glorious Bravery of Radiant Sword,104
[G-BT08] VG-G-BT08 : Absolute Judgment,103
[G-BT09] VG-G-BT09 : Divine Dragon Caper,104
[G-BT10] VG-G-BT10 : Swordfang Fierce Battle,104
[G-BT11] VG-G-BT11 : Descent of the Rogue Deity,104
[G-BT12] VG-G-BT12 : Dragon King's Awakening,104
[G-BT13] VG-G-BT13 : Ultimate Stride,110
[G-BT14] VG-G-BT14 : Divine Dragon Apocrypha,101
[G-CB01] VG-G-CB01 : Academy of Divas,46
[G-CB02] VG-G-CB02 : Commander of the Incessant Waves,40
[G-CB03] VG-G-CB03: Blessing of Divas,49
[G-CB04] VG-G-CB04 : Gear of Fate,45
[G-CB05] VG-G-CB05 : Prismatic Divas,64
[G-CB06] VG-G-CB06 : Rondeau of Chaos and Salvation,45
[G-CB07] VG-G-CB07 : Diva's Festa,54
[G-CHB01] VG-G-CHB01 : TRY3 NEXT,75
[G-CHB02] VG-G-CHB02 : WE ARE!!! TRINITY DRAGON,75
[G-CHB03] VG-G-CHB03 : Rummy Labyrinth Under the Moonlight,60
[G-CMB01] VG-G-CMB01 : Vanguard & Deletor,45
[G-EB01] VG-G-EB01 : Cosmic Roar,35
[G-EB02] VGE-G-EB02 : The AWAKENING ZOO,76
[G-EB03] VGE-G-EB03 : The GALAXY STAR GATE,76
[G-FC01] VG-G-FC01 : Fighter's Collection 2015,50
[G-FC02] VG-G-FC02 : Fighter's Collection 2015 Winter,48
[G-FC03] VG-G-FC03 : Fighter's Collection 2016,51
[G-FC04] VG-G-FC04 : Fighters Collection 2017,75
[G-FTD01] VG-G-FTD01 : Knight of the Sun,19
[G-LD01] VG-G-LD01 : The Dark “Ren Suzugamori”,15
[G-LD02] VG-G-LD02 : The Overlord blaze,16
[G-LD03] VG-G-LD03 : The Blaster Aichi Sendou,18
[G-MT01] VG-G-MT01 : TRIAL DECK RISE TO ROYALTY,19
[G-TCB01] VG-G-TCB01 : The RECKLESS RAMPAGE,75
[G-TCB02] VG-G-TCB02 : The GENIUS STRATEGY,75
[G-TD01] VG-G-TD01 : Awakening of the Interdimensional Dragon,19
[G-TD02] VG-G-TD02 : Divine Swordsman of the Shiny Star,16
[G-TD03] VG-G-TD03 : Flower Maiden of Purity,19
[G-TD04] VG-G-TD04 : Blue Cavalry of the Divine Marine Spirits,19
[G-TD05] VG-G-TD05 : Fateful Star Messiah,19
[G-TD06] VG-G-TD06 : Rallying Call of the Interspectral Dragon,19
[G-TD07] VG-G-TD07 : Illusionist of the Crescent Moon,19
[G-TD08] VG-G-TD08 : Vampire Princess of the Nether Hour,19
[G-TD09] VG-G-TD09 : True Zodiac Time Beasts,19
[G-TD10] VG-G-TD10 : Ritual of Dragon Sorcery,18
[G-TD11] VG-G-TD11 : Divine Knight of Heavenly Decree,18
[G-TD12] VG-G-TD12 : Flower Princess of Abundant Blooming,18
[G-TD13] VG-G-TD13 : Ruler of the Evil-eye,18
[G-TD14] VG-G-TD14 : Debut of the Divas,19
[G-TD15] VG-G-TD15 : Messiah Dragon of Rebirth,18
[MBD01] Monthly Bushiroad Deck 1,9
[MBT01] VG-MBT01 : Neon Messiah,50
[MT01] VG-MT01 : DAIGO Special Set,12
[MTD01] VG-MTD01 : Malefic Deletor,17
[PR] Promo Card,293
[SW-BT01] VG-SW-BT01 : Iconic Collection SWEAT16!,55
[SW-PR] SWEAT16! Promo Card,50
[T-BT01] VG-T-BT01 Booster Set : The Mask Collection,32
[T-PR] TH Promo Card,33
[T-TD01] VG-T-TD01 : The Mask Collection,15
[T-TD02] VG-T-TD02 : The Mask Collection Neo Warriors Strengthen,16
[TD01] VG-TD01 : Blaster Blade,11
[TD02] VG-TD02 : Dragonic Overlord,11
[TD03] VG-TD03 : Golden Mechanical Soldier,11
[TD04] VG-TD04 : Maiden Princess of the Cherry Blossoms,11
[TD05] VG-TD05 : Slash of Silver Wolf,13
[TD06] VG-TD06 : Resonance of Thunder Dragon,13
[TD07] VG-TD07 : Descendants of the Marine Emperor,13
[TD08] VG-TD08 : Liberator of the Sanctuary,12
[TD09] VG-TD09 : Eradicator of the Empire,12
[TD10] VG-TD10 : Purgatory Revenger,12
[TD11] VG-TD11 : Star-vader Invasion,12
[TD12] VG-TD12 : Dimensional Brave Kaiser,12
[TD13] VG-TD13 : Successor of the Sacred Regalia,12
[TD14] VG-TD14 : Seeker of Hope,17
[TD15] VG-TD15 : Brawler of Friendship,17
[TD16] VG-TD16 : Divine Judgment of the Bluish Flames,17
[TD17] VG-TD17 : Will of the Locked Dragon,17
[V-ATD01] VG-V-ATD01 : V Animation Trial Deck 1,18
[V-ATD02] VG-V-ATD02 : V Animation Trial Deck 2,18
[V-BT01] VG-V-BT01 : Unite! Team Q4,84
[V-BT02] VG-V-BT02 : Strongest! Team AL4,84
[V-BT03] VG-V-BT03 : Miyaji Academy Cardfight Club,84
[V-BT04] VG-V-BT04 : Vilest! Deletor,84
[V-BT05] V Booster Set 05: Aerial Steed Liberation,80
[V-BT06] V Booster Set 06: Phantasmal Steed Restoration,84
[V-BT07] V Booster Set 07: Infinideity Cradle,81
[V-BT08] V Booster Set 08: Silverdust Blaze,89
[V-BT09] V Booster Set 09 : Butterfly d'Moonlight,95
[V-BT10] V Booster Set 10: Phantom Dragon Aeon,92
[V-BT11] V Booster Set 11: Storm of the Blue Cavalry,90
[V-BT12] V Booster Set 12: Divine Lightning Radiance,89
[V-EB01] VG-V-EB01 : The Destructive Roar,66
[V-EB02] VG-V-EB02 : Champions of the Asia Circuit,58
[V-EB03] VG-V-EB03: ULTRARARE MIRACLE COLLECTION,68
[V-EB04] VG-V-EB04 : The Answer of Truth,68
[V-EB05] V Extra Booster 05 : Primary Melody,45
"[V-EB06] V Extra Booster 06: Light of Salvation, Logic of Destruction",46
[V-EB07] V Extra Booster 07: The Heroic Evolution,66
[V-EB08] V Extra Booster 08: My Glorious Justice,63
[V-EB09] V Extra Booster 09 : The Raging Tactics,66
[V-EB10] V Extra Booster 10: The Mysterious Fortune,70
[V-EB11] V Extra Booster 11: Crystal Melody,48
[V-EB12] V Extra Booster 12: Team Dragon's Vanity!,66
[V-EB13] V Extra Booster 13: The Astral Force,62
[V-EB14] V Extra Booster 14: The Next Stage,64
[V-EB15] V Extra Booster 15: Twinkle Melody,51
[V-GTD01] VG-V-GTD01 : V Game Trial Deck 1,18
[V-GTD02] VG-V-GTD02 : V Game Trial Deck 2,18
[V-GTD03] VG-V-GTD03 : V Game Trial Deck 03,20
[V-GTD04] VG-V-GTD04 : V Game Trial Deck 04,18
[V-GTD05] VG-V-GTD05 : V Game Trial Deck 05,25
[V-LTD01] VG-V-LTD01 : V Live Action Trial Deck 01,15
[V-LTD02] VG-V-LTD02 : V Live Action Trial Deck 02,15
[V-LTD03] VG-V-LTD03 : V Live Action Trial Deck 03,18
[V-LTD04] VG-V-LTD04 : V Live Action Trial Deck 04,18
[V-LTD05] VG-V-LTD05 : V Live Action Trial Deck 05,19
[V-PR] V Promo Card,247
[V-SS01] VG-V-SS01 : PREMIUM COLLECTION 2019,54
[V-SS07] VG-V-SS07 : PREMIUM COLLECTION 2020,57
[V-TB01] V Title Booster 01: BanG Dream! FILM LIVE,75
[V-TD01] VG-V-TD01 : Aichi Sendou,15
[V-TD02] VG-V-TD02 : Toshiki Kai,15
[V-TD03] VG-V-TD03 : Leon Soryu,14
[V-TD04] VG-V-TD04 : Ren Suzugamori,15
[V-TD05] VG-V-TD05 : Misaki Tokura,14
[V-TD06] VG-V-TD06 : Naoki Ishida,14
[V-TD07] VG-V-Trial Deck 07 Kouji Ibuki,14
[V-TD08] VG-V-TD08 : Schokolade Melody,19
[V-TD09] V Trial Deck 09: Shinemon Nitta,17
[V-TD10] V Trial Deck 10: Chronojet,15
[V-TD11] V Trial Deck 11: Altmile,15
[V-TD12] V Trial Deck 12: Ahsha,17
[V-TPR] V-TH Promo Card,37
