review_item_id,recipe_id,source_candidate_edge,source_card_id,target_card_id,grade_profile_package_id,manual_review_card_ids,added_card_ids,removed_card_ids,grade_counts_after,recommended_reviewer_action
m41_01_m40_recipe_001_repair_review,m40_recipe_001,BT01-006TH->BT02-033TH,BT01-006TH,BT02-033TH,m40_recipe_001_grade_profile_pkg_001,BT07-096TH|BT09-068TH,TD04-007TH|TD04-008TH|TD04-004TH|TD04-005TH|TD04-006TH|TD04-001TH,BT07-096TH|BT09-068TH|BT01-027TH|BT01-056TH|BT01-057TH|BT01-058TH,"{""0"": 17, ""1"": 14, ""2"": 11, ""3"": 8}",review_grade_profile_package_before_m41_02_acceptance
m41_01_m40_recipe_002_repair_review,m40_recipe_002,BT01-006TH->TD04-011TH,BT01-006TH,TD04-011TH,m40_recipe_002_grade_profile_pkg_001,BT07-096TH|BT09-068TH,TD04-007TH|TD04-008TH|TD04-004TH|TD04-005TH|TD04-006TH|TD04-001TH,BT07-096TH|BT09-068TH|BT01-027TH|BT01-056TH|BT01-057TH|BT01-058TH,"{""0"": 17, ""1"": 14, ""2"": 11, ""3"": 8}",review_grade_profile_package_before_m41_02_acceptance
m41_01_m40_recipe_003_repair_review,m40_recipe_003,EB05-001TH->BT02-033TH,EB05-001TH,BT02-033TH,m40_recipe_003_grade_profile_pkg_001,BT07-096TH|BT09-068TH,TD04-007TH|TD04-008TH|TD04-004TH|TD04-005TH|TD04-006TH|TD04-001TH,BT07-096TH|BT09-068TH|BT01-027TH|BT01-056TH|BT01-057TH|BT01-058TH,"{""0"": 17, ""1"": 14, ""2"": 11, ""3"": 8}",review_grade_profile_package_before_m41_02_acceptance
m41_01_m40_recipe_004_repair_review,m40_recipe_004,EB05-001TH->TD04-011TH,EB05-001TH,TD04-011TH,m40_recipe_004_grade_profile_pkg_001,BT07-096TH|BT09-068TH,TD04-007TH|TD04-008TH|TD04-004TH|TD04-005TH|TD04-006TH|TD04-001TH,BT07-096TH|BT09-068TH|BT01-027TH|BT01-056TH|BT01-057TH|BT01-058TH,"{""0"": 17, ""1"": 14, ""2"": 11, ""3"": 8}",review_grade_profile_package_before_m41_02_acceptance
m41_01_m40_recipe_005_repair_review,m40_recipe_005,BT03-007TH->BT02-033TH,BT03-007TH,BT02-033TH,m40_recipe_005_grade_profile_pkg_001,BT07-096TH|BT09-068TH,TD04-007TH|TD04-008TH|TD04-004TH|TD04-005TH|TD04-001TH|TD04-002TH,BT07-096TH|BT09-068TH|BT01-027TH|BT01-056TH|BT01-057TH|BT01-058TH,"{""0"": 17, ""1"": 14, ""2"": 11, ""3"": 8}",review_grade_profile_package_before_m41_02_acceptance
m41_01_m40_recipe_006_repair_review,m40_recipe_006,BT03-007TH->BT02-066TH,BT03-007TH,BT02-066TH,m40_recipe_006_grade_profile_pkg_001,BT07-096TH|BT09-068TH,TD04-007TH|TD04-008TH|TD04-004TH|TD04-005TH|TD04-001TH|TD04-002TH,BT07-096TH|BT09-068TH|BT01-027TH|BT01-056TH|BT01-057TH|BT01-058TH,"{""0"": 17, ""1"": 14, ""2"": 11, ""3"": 8}",review_grade_profile_package_before_m41_02_acceptance
m41_01_m40_recipe_007_repair_review,m40_recipe_007,BT03-007TH->BT09-063TH,BT03-007TH,BT09-063TH,m40_recipe_007_grade_profile_pkg_001,BT07-096TH|BT09-068TH,TD04-007TH|TD04-008TH|TD04-009TH|TD04-004TH|TD04-005TH|TD04-001TH,BT07-096TH|BT09-068TH|BT01-027TH|BT01-056TH|BT01-057TH|BT01-058TH,"{""0"": 17, ""1"": 14, ""2"": 11, ""3"": 8}",review_grade_profile_package_before_m41_02_acceptance
m41_01_m40_recipe_008_repair_review,m40_recipe_008,BT03-007TH->BT09-066TH,BT03-007TH,BT09-066TH,m40_recipe_008_grade_profile_pkg_001,BT07-096TH|BT09-068TH,TD04-007TH|TD04-008TH|TD04-004TH|TD04-005TH|TD04-001TH|TD04-002TH,BT07-096TH|BT09-068TH|BT01-027TH|BT01-056TH|BT01-057TH|BT01-058TH,"{""0"": 17, ""1"": 14, ""2"": 11, ""3"": 8}",review_grade_profile_package_before_m41_02_acceptance
m41_01_m40_recipe_009_repair_review,m40_recipe_009,BT03-007TH->BT09-067TH,BT03-007TH,BT09-067TH,m40_recipe_009_grade_profile_pkg_001,BT07-096TH|BT09-068TH,TD04-007TH|TD04-008TH|TD04-004TH|TD04-005TH|TD04-001TH|TD04-002TH,BT07-096TH|BT09-068TH|BT01-027TH|BT01-056TH|BT01-057TH|BT01-058TH,"{""0"": 17, ""1"": 14, ""2"": 11, ""3"": 8}",review_grade_profile_package_before_m41_02_acceptance
m41_01_m40_recipe_010_repair_review,m40_recipe_010,BT03-007TH->EB05-026TH,BT03-007TH,EB05-026TH,m40_recipe_010_grade_profile_pkg_001,BT07-096TH|BT09-068TH,TD04-007TH|TD04-008TH|TD04-004TH|TD04-005TH|TD04-001TH|TD04-002TH,BT07-096TH|BT09-068TH|BT01-027TH|BT01-056TH|BT01-057TH|BT01-058TH,"{""0"": 17, ""1"": 14, ""2"": 11, ""3"": 8}",review_grade_profile_package_before_m41_02_acceptance
m41_01_m40_recipe_011_repair_review,m40_recipe_011,BT03-007TH->EB05-027TH,BT03-007TH,EB05-027TH,m40_recipe_011_grade_profile_pkg_001,BT07-096TH|BT09-068TH,TD04-007TH|TD04-008TH|TD04-004TH|TD04-005TH|TD04-001TH|TD04-002TH,BT07-096TH|BT09-068TH|BT01-027TH|BT01-056TH|BT01-057TH|BT01-058TH,"{""0"": 17, ""1"": 14, ""2"": 11, ""3"": 8}",review_grade_profile_package_before_m41_02_acceptance
m41_01_m40_recipe_012_repair_review,m40_recipe_012,BT03-007TH->TD04-011TH,BT03-007TH,TD04-011TH,m40_recipe_012_grade_profile_pkg_001,BT07-096TH|BT09-068TH,TD04-007TH|TD04-008TH|TD04-004TH|TD04-005TH|TD04-001TH|TD04-002TH,BT07-096TH|BT09-068TH|BT01-027TH|BT01-056TH|BT01-057TH|BT01-058TH,"{""0"": 17, ""1"": 14, ""2"": 11, ""3"": 8}",review_grade_profile_package_before_m41_02_acceptance
m41_01_m40_recipe_013_repair_review,m40_recipe_013,EB05-003TH->BT09-066TH,EB05-003TH,BT09-066TH,m40_recipe_013_grade_profile_pkg_001,BT07-096TH|BT09-068TH,TD04-007TH|TD04-008TH|TD04-004TH|TD04-005TH|TD04-006TH|TD04-001TH,BT07-096TH|BT09-068TH|BT01-027TH|BT01-056TH|BT01-057TH|BT01-058TH,"{""0"": 17, ""1"": 14, ""2"": 11, ""3"": 8}",review_grade_profile_package_before_m41_02_acceptance
m41_01_m40_recipe_014_repair_review,m40_recipe_014,BT03-068TH->BT02-033TH,BT03-068TH,BT02-033TH,m40_recipe_014_grade_profile_pkg_001,BT07-096TH|BT09-068TH,TD04-007TH|TD04-008TH|TD04-004TH|TD04-005TH|TD04-006TH|TD04-001TH,BT07-096TH|BT09-068TH|BT01-027TH|BT01-056TH|BT01-057TH|BT01-058TH,"{""0"": 17, ""1"": 14, ""2"": 11, ""3"": 8}",review_grade_profile_package_before_m41_02_acceptance
m41_01_m40_recipe_015_repair_review,m40_recipe_015,BT03-068TH->TD04-011TH,BT03-068TH,TD04-011TH,m40_recipe_015_grade_profile_pkg_001,BT07-096TH|BT09-068TH,TD04-007TH|TD04-008TH|TD04-004TH|TD04-005TH|TD04-006TH|TD04-001TH,BT07-096TH|BT09-068TH|BT01-027TH|BT01-056TH|BT01-057TH|BT01-058TH,"{""0"": 17, ""1"": 14, ""2"": 11, ""3"": 8}",review_grade_profile_package_before_m41_02_acceptance
m41_01_m40_recipe_016_repair_review,m40_recipe_016,BT03-070TH->BT02-033TH,BT03-070TH,BT02-033TH,m40_recipe_016_grade_profile_pkg_001,BT07-096TH|BT09-068TH,TD04-007TH|TD04-008TH|TD04-004TH|TD04-005TH|TD04-001TH|TD04-002TH,BT07-096TH|BT09-068TH|BT01-027TH|BT01-056TH|BT01-057TH|BT01-058TH,"{""0"": 17, ""1"": 14, ""2"": 11, ""3"": 8}",review_grade_profile_package_before_m41_02_acceptance
m41_01_m40_recipe_017_repair_review,m40_recipe_017,BT03-070TH->TD04-011TH,BT03-070TH,TD04-011TH,m40_recipe_017_grade_profile_pkg_001,BT07-096TH|BT09-068TH,TD04-007TH|TD04-008TH|TD04-004TH|TD04-005TH|TD04-001TH|TD04-002TH,BT07-096TH|BT09-068TH|BT01-027TH|BT01-056TH|BT01-057TH|BT01-058TH,"{""0"": 17, ""1"": 14, ""2"": 11, ""3"": 8}",review_grade_profile_package_before_m41_02_acceptance
m41_01_m40_recipe_018_repair_review,m40_recipe_018,BT09-065TH->BT02-033TH,BT09-065TH,BT02-033TH,m40_recipe_018_grade_profile_pkg_001,BT07-096TH|BT09-068TH,TD04-007TH|TD04-008TH|TD04-004TH|TD04-005TH|TD04-001TH|TD04-002TH,BT07-096TH|BT09-068TH|BT01-027TH|BT01-056TH|BT01-057TH|BT01-058TH,"{""0"": 17, ""1"": 14, ""2"": 11, ""3"": 8}",review_grade_profile_package_before_m41_02_acceptance
m41_01_m40_recipe_019_repair_review,m40_recipe_019,BT09-065TH->TD04-011TH,BT09-065TH,TD04-011TH,m40_recipe_019_grade_profile_pkg_001,BT07-096TH|BT09-068TH,TD04-007TH|TD04-008TH|TD04-004TH|TD04-005TH|TD04-001TH|TD04-002TH,BT07-096TH|BT09-068TH|BT01-027TH|BT01-056TH|BT01-057TH|BT01-058TH,"{""0"": 17, ""1"": 14, ""2"": 11, ""3"": 8}",review_grade_profile_package_before_m41_02_acceptance
m41_01_m40_recipe_020_repair_review,m40_recipe_020,EB05-003TH->BT02-033TH,EB05-003TH,BT02-033TH,m40_recipe_020_grade_profile_pkg_001,BT07-096TH|BT09-068TH,TD04-007TH|TD04-008TH|TD04-004TH|TD04-005TH|TD04-006TH|TD04-001TH,BT07-096TH|BT09-068TH|BT01-027TH|BT01-056TH|BT01-057TH|BT01-058TH,"{""0"": 17, ""1"": 14, ""2"": 11, ""3"": 8}",review_grade_profile_package_before_m41_02_acceptance
m41_01_m40_recipe_021_repair_review,m40_recipe_021,EB05-003TH->TD04-011TH,EB05-003TH,TD04-011TH,m40_recipe_021_grade_profile_pkg_001,BT07-096TH|BT09-068TH,TD04-007TH|TD04-008TH|TD04-004TH|TD04-005TH|TD04-006TH|TD04-001TH,BT07-096TH|BT09-068TH|BT01-027TH|BT01-056TH|BT01-057TH|BT01-058TH,"{""0"": 17, ""1"": 14, ""2"": 11, ""3"": 8}",review_grade_profile_package_before_m41_02_acceptance
m41_01_m40_recipe_022_repair_review,m40_recipe_022,BT03-037TH->BT02-066TH,BT03-037TH,BT02-066TH,m40_recipe_022_grade_profile_pkg_001,BT07-096TH|BT09-068TH,TD04-007TH|TD04-004TH|TD04-005TH|TD04-006TH|TD04-001TH|TD04-002TH,BT07-096TH|BT09-068TH|BT01-027TH|BT01-056TH|BT01-057TH|BT01-058TH,"{""0"": 17, ""1"": 14, ""2"": 11, ""3"": 8}",review_grade_profile_package_before_m41_02_acceptance
m41_01_m40_recipe_023_repair_review,m40_recipe_023,BT03-037TH->BT09-063TH,BT03-037TH,BT09-063TH,m40_recipe_023_grade_profile_pkg_001,BT07-096TH|BT09-068TH,TD04-007TH|TD04-008TH|TD04-004TH|TD04-005TH|TD04-006TH|TD04-001TH,BT07-096TH|BT09-068TH|BT01-027TH|BT01-056TH|BT01-057TH|BT01-058TH,"{""0"": 17, ""1"": 14, ""2"": 11, ""3"": 8}",review_grade_profile_package_before_m41_02_acceptance
m41_01_m40_recipe_024_repair_review,m40_recipe_024,BT03-037TH->BT09-067TH,BT03-037TH,BT09-067TH,m40_recipe_024_grade_profile_pkg_001,BT07-096TH|BT09-068TH,TD04-007TH|TD04-004TH|TD04-005TH|TD04-006TH|TD04-001TH|TD04-002TH,BT07-096TH|BT09-068TH|BT01-027TH|BT01-056TH|BT01-057TH|BT01-058TH,"{""0"": 17, ""1"": 14, ""2"": 11, ""3"": 8}",review_grade_profile_package_before_m41_02_acceptance
m41_01_m40_recipe_025_repair_review,m40_recipe_025,BT03-037TH->EB05-026TH,BT03-037TH,EB05-026TH,m40_recipe_025_grade_profile_pkg_001,BT07-096TH|BT09-068TH,TD04-007TH|TD04-004TH|TD04-005TH|TD04-006TH|TD04-001TH|TD04-002TH,BT07-096TH|BT09-068TH|BT01-027TH|BT01-056TH|BT01-057TH|BT01-058TH,"{""0"": 17, ""1"": 14, ""2"": 11, ""3"": 8}",review_grade_profile_package_before_m41_02_acceptance
