review_item_id,recipe_id,source_candidate_edge,source_card_id,target_card_id,manual_repair_package_id,manual_review_card_ids,manual_replacement_card_ids,grade_profile_package_id,grade_added_card_ids,grade_removed_card_ids,grade_counts_after,recommended_reviewer_action
m45_01_m44_recipe_001_repair_review,m44_recipe_001,EB10-007TH-B->EB06-023TH,EB10-007TH-B,EB06-023TH,m44_recipe_001_manual_overlap_pkg_001,EB06-001TH|EB06-002TH|EB06-005TH|EB06-006TH|EB06-010TH|EB06-012TH,EB06-003TH|EB06-S01TH|EB06-011TH|EB06-021TH|EB06-S05TH|EB06-022TH,m44_recipe_001_grade_profile_pkg_001,EB06-026TH|EB06-011TH|EB06-003TH,EB06-006TH|EB06-012TH,"{""0"": 17, ""1"": 14, ""2"": 11, ""3"": 8}",review_combined_manual_and_grade_packages_before_m45_02_acceptance
m45_01_m44_recipe_002_repair_review,m44_recipe_002,EB10-007TH-B->EB06-S06TH,EB10-007TH-B,EB06-S06TH,m44_recipe_002_manual_overlap_pkg_001,EB06-001TH|EB06-002TH|EB06-005TH|EB06-006TH|EB06-010TH|EB06-012TH,EB06-003TH|EB06-S01TH|EB06-011TH|EB06-021TH|EB06-S05TH|EB06-022TH,m44_recipe_002_grade_profile_pkg_001,EB06-026TH|EB06-011TH|EB06-003TH,EB06-006TH|EB06-012TH,"{""0"": 17, ""1"": 14, ""2"": 11, ""3"": 8}",review_combined_manual_and_grade_packages_before_m45_02_acceptance
m45_01_m44_recipe_003_repair_review,m44_recipe_003,EB10-007TH-W->EB06-023TH,EB10-007TH-W,EB06-023TH,m44_recipe_003_manual_overlap_pkg_001,EB06-001TH|EB06-002TH|EB06-005TH|EB06-006TH|EB06-010TH|EB06-012TH,EB06-003TH|EB06-S01TH|EB06-011TH|EB06-021TH|EB06-S05TH|EB06-022TH,m44_recipe_003_grade_profile_pkg_001,EB06-026TH|EB06-011TH|EB06-003TH,EB06-006TH|EB06-012TH,"{""0"": 17, ""1"": 14, ""2"": 11, ""3"": 8}",review_combined_manual_and_grade_packages_before_m45_02_acceptance
m45_01_m44_recipe_004_repair_review,m44_recipe_004,EB10-007TH-W->EB06-S06TH,EB10-007TH-W,EB06-S06TH,m44_recipe_004_manual_overlap_pkg_001,EB06-001TH|EB06-002TH|EB06-005TH|EB06-006TH|EB06-010TH|EB06-012TH,EB06-003TH|EB06-S01TH|EB06-011TH|EB06-021TH|EB06-S05TH|EB06-022TH,m44_recipe_004_grade_profile_pkg_001,EB06-026TH|EB06-011TH|EB06-003TH,EB06-006TH|EB06-012TH,"{""0"": 17, ""1"": 14, ""2"": 11, ""3"": 8}",review_combined_manual_and_grade_packages_before_m45_02_acceptance
m45_01_m44_recipe_005_repair_review,m44_recipe_005,EB10-S07TH-B->EB06-023TH,EB10-S07TH-B,EB06-023TH,m44_recipe_005_manual_overlap_pkg_001,EB06-001TH|EB06-002TH|EB06-005TH|EB06-006TH|EB06-010TH|EB06-012TH,EB06-003TH|EB06-S01TH|EB06-011TH|EB06-021TH|EB06-S05TH|EB06-022TH,m44_recipe_005_grade_profile_pkg_001,EB06-026TH|EB06-011TH|EB06-003TH,EB06-006TH|EB06-012TH,"{""0"": 17, ""1"": 14, ""2"": 11, ""3"": 8}",review_combined_manual_and_grade_packages_before_m45_02_acceptance
m45_01_m44_recipe_006_repair_review,m44_recipe_006,EB10-S07TH-B->EB06-S06TH,EB10-S07TH-B,EB06-S06TH,m44_recipe_006_manual_overlap_pkg_001,EB06-001TH|EB06-002TH|EB06-005TH|EB06-006TH|EB06-010TH|EB06-012TH,EB06-003TH|EB06-S01TH|EB06-011TH|EB06-021TH|EB06-S05TH|EB06-022TH,m44_recipe_006_grade_profile_pkg_001,EB06-026TH|EB06-011TH|EB06-003TH,EB06-006TH|EB06-012TH,"{""0"": 17, ""1"": 14, ""2"": 11, ""3"": 8}",review_combined_manual_and_grade_packages_before_m45_02_acceptance
m45_01_m44_recipe_007_repair_review,m44_recipe_007,EB10-S07TH-W->EB06-023TH,EB10-S07TH-W,EB06-023TH,m44_recipe_007_manual_overlap_pkg_001,EB06-001TH|EB06-002TH|EB06-005TH|EB06-006TH|EB06-010TH|EB06-012TH,EB06-003TH|EB06-S01TH|EB06-011TH|EB06-021TH|EB06-S05TH|EB06-022TH,m44_recipe_007_grade_profile_pkg_001,EB06-026TH|EB06-011TH|EB06-003TH,EB06-006TH|EB06-012TH,"{""0"": 17, ""1"": 14, ""2"": 11, ""3"": 8}",review_combined_manual_and_grade_packages_before_m45_02_acceptance
m45_01_m44_recipe_008_repair_review,m44_recipe_008,EB10-S07TH-W->EB06-S06TH,EB10-S07TH-W,EB06-S06TH,m44_recipe_008_manual_overlap_pkg_001,EB06-001TH|EB06-002TH|EB06-005TH|EB06-006TH|EB06-010TH|EB06-012TH,EB06-003TH|EB06-S01TH|EB06-011TH|EB06-021TH|EB06-S05TH|EB06-022TH,m44_recipe_008_grade_profile_pkg_001,EB06-026TH|EB06-011TH|EB06-003TH,EB06-006TH|EB06-012TH,"{""0"": 17, ""1"": 14, ""2"": 11, ""3"": 8}",review_combined_manual_and_grade_packages_before_m45_02_acceptance
m45_01_m44_recipe_009_repair_review,m44_recipe_009,EB10-026TH-B->EB06-020TH,EB10-026TH-B,EB06-020TH,m44_recipe_009_manual_overlap_pkg_001,EB06-001TH|EB06-002TH|EB06-005TH|EB06-006TH|EB06-010TH|EB06-012TH,EB06-003TH|EB06-S01TH|EB06-011TH|EB06-021TH|EB06-S05TH|EB06-022TH,m44_recipe_009_grade_profile_pkg_001,EB06-026TH|EB06-003TH,EB06-006TH|EB06-005TH,"{""0"": 17, ""1"": 14, ""2"": 11, ""3"": 8}",review_combined_manual_and_grade_packages_before_m45_02_acceptance
m45_01_m44_recipe_010_repair_review,m44_recipe_010,EB10-026TH-B->EB10-012TH-B,EB10-026TH-B,EB10-012TH-B,m44_recipe_010_manual_overlap_pkg_001,EB06-001TH|EB06-002TH|EB06-005TH|EB06-006TH|EB06-010TH|EB06-012TH,EB06-003TH|EB06-S01TH|EB06-011TH|EB06-021TH|EB06-S05TH|EB06-022TH,m44_recipe_010_grade_profile_pkg_001,EB06-026TH|EB06-003TH,EB06-006TH|EB06-005TH,"{""0"": 17, ""1"": 14, ""2"": 11, ""3"": 8}",review_combined_manual_and_grade_packages_before_m45_02_acceptance
m45_01_m44_recipe_011_repair_review,m44_recipe_011,EB10-026TH-B->EB10-012TH-W,EB10-026TH-B,EB10-012TH-W,m44_recipe_011_manual_overlap_pkg_001,EB06-001TH|EB06-002TH|EB06-005TH|EB06-006TH|EB06-010TH|EB06-012TH,EB06-003TH|EB06-S01TH|EB06-011TH|EB06-021TH|EB06-S05TH|EB06-022TH,m44_recipe_011_grade_profile_pkg_001,EB06-026TH|EB06-003TH,EB06-006TH|EB06-005TH,"{""0"": 17, ""1"": 14, ""2"": 11, ""3"": 8}",review_combined_manual_and_grade_packages_before_m45_02_acceptance
m45_01_m44_recipe_012_repair_review,m44_recipe_012,EB10-026TH-W->EB06-020TH,EB10-026TH-W,EB06-020TH,m44_recipe_012_manual_overlap_pkg_001,EB06-001TH|EB06-002TH|EB06-005TH|EB06-006TH|EB06-010TH|EB06-012TH,EB06-003TH|EB06-S01TH|EB06-011TH|EB06-021TH|EB06-S05TH|EB06-022TH,m44_recipe_012_grade_profile_pkg_001,EB06-026TH|EB06-003TH,EB06-006TH|EB06-005TH,"{""0"": 17, ""1"": 14, ""2"": 11, ""3"": 8}",review_combined_manual_and_grade_packages_before_m45_02_acceptance
m45_01_m44_recipe_013_repair_review,m44_recipe_013,EB10-026TH-W->EB10-012TH-B,EB10-026TH-W,EB10-012TH-B,m44_recipe_013_manual_overlap_pkg_001,EB06-001TH|EB06-002TH|EB06-005TH|EB06-006TH|EB06-010TH|EB06-012TH,EB06-003TH|EB06-S01TH|EB06-011TH|EB06-021TH|EB06-S05TH|EB06-022TH,m44_recipe_013_grade_profile_pkg_001,EB06-026TH|EB06-003TH,EB06-006TH|EB06-005TH,"{""0"": 17, ""1"": 14, ""2"": 11, ""3"": 8}",review_combined_manual_and_grade_packages_before_m45_02_acceptance
m45_01_m44_recipe_014_repair_review,m44_recipe_014,EB10-026TH-W->EB10-012TH-W,EB10-026TH-W,EB10-012TH-W,m44_recipe_014_manual_overlap_pkg_001,EB06-001TH|EB06-002TH|EB06-005TH|EB06-006TH|EB06-010TH|EB06-012TH,EB06-003TH|EB06-S01TH|EB06-011TH|EB06-021TH|EB06-S05TH|EB06-022TH,m44_recipe_014_grade_profile_pkg_001,EB06-026TH|EB06-003TH,EB06-006TH|EB06-005TH,"{""0"": 17, ""1"": 14, ""2"": 11, ""3"": 8}",review_combined_manual_and_grade_packages_before_m45_02_acceptance
m45_01_m44_recipe_015_repair_review,m44_recipe_015,EB06-017TH->EB10-012TH-B,EB06-017TH,EB10-012TH-B,m44_recipe_015_manual_overlap_pkg_001,EB06-001TH|EB06-002TH|EB06-005TH|EB06-006TH|EB06-010TH|EB06-012TH,EB06-003TH|EB06-S01TH|EB06-011TH|EB06-021TH|EB06-S05TH|EB06-022TH,m44_recipe_015_grade_profile_pkg_001,EB06-026TH|EB06-021TH,EB06-005TH|EB06-001TH,"{""0"": 17, ""1"": 14, ""2"": 11, ""3"": 8}",review_combined_manual_and_grade_packages_before_m45_02_acceptance
m45_01_m44_recipe_016_repair_review,m44_recipe_016,EB06-017TH->EB10-012TH-W,EB06-017TH,EB10-012TH-W,m44_recipe_016_manual_overlap_pkg_001,EB06-001TH|EB06-002TH|EB06-005TH|EB06-006TH|EB06-010TH|EB06-012TH,EB06-003TH|EB06-S01TH|EB06-011TH|EB06-021TH|EB06-S05TH|EB06-022TH,m44_recipe_016_grade_profile_pkg_001,EB06-026TH|EB06-021TH,EB06-005TH|EB06-001TH,"{""0"": 17, ""1"": 14, ""2"": 11, ""3"": 8}",review_combined_manual_and_grade_packages_before_m45_02_acceptance
m45_01_m44_recipe_017_repair_review,m44_recipe_017,EB06-022TH->EB10-012TH-B,EB06-022TH,EB10-012TH-B,m44_recipe_017_manual_overlap_pkg_001,EB06-001TH|EB06-002TH|EB06-005TH|EB06-006TH|EB06-010TH|EB06-012TH,EB06-003TH|EB06-S01TH|EB06-011TH|EB06-021TH|EB06-S05TH|EB06-014TH,m44_recipe_017_grade_profile_pkg_001,EB06-026TH|EB06-003TH,EB06-006TH|EB06-005TH,"{""0"": 17, ""1"": 14, ""2"": 11, ""3"": 8}",review_combined_manual_and_grade_packages_before_m45_02_acceptance
m45_01_m44_recipe_018_repair_review,m44_recipe_018,EB06-022TH->EB10-012TH-W,EB06-022TH,EB10-012TH-W,m44_recipe_018_manual_overlap_pkg_001,EB06-001TH|EB06-002TH|EB06-005TH|EB06-006TH|EB06-010TH|EB06-012TH,EB06-003TH|EB06-S01TH|EB06-011TH|EB06-021TH|EB06-S05TH|EB06-014TH,m44_recipe_018_grade_profile_pkg_001,EB06-026TH|EB06-003TH,EB06-006TH|EB06-005TH,"{""0"": 17, ""1"": 14, ""2"": 11, ""3"": 8}",review_combined_manual_and_grade_packages_before_m45_02_acceptance
m45_01_m44_recipe_019_repair_review,m44_recipe_019,EB06-023TH->EB10-012TH-B,EB06-023TH,EB10-012TH-B,m44_recipe_019_manual_overlap_pkg_001,EB06-001TH|EB06-002TH|EB06-005TH|EB06-006TH|EB06-010TH|EB06-012TH,EB06-003TH|EB06-S01TH|EB06-011TH|EB06-021TH|EB06-S05TH|EB06-022TH,m44_recipe_019_grade_profile_pkg_001,EB06-026TH|EB06-003TH,EB06-006TH|EB06-005TH,"{""0"": 17, ""1"": 14, ""2"": 11, ""3"": 8}",review_combined_manual_and_grade_packages_before_m45_02_acceptance
m45_01_m44_recipe_020_repair_review,m44_recipe_020,EB06-023TH->EB10-012TH-W,EB06-023TH,EB10-012TH-W,m44_recipe_020_manual_overlap_pkg_001,EB06-001TH|EB06-002TH|EB06-005TH|EB06-006TH|EB06-010TH|EB06-012TH,EB06-003TH|EB06-S01TH|EB06-011TH|EB06-021TH|EB06-S05TH|EB06-022TH,m44_recipe_020_grade_profile_pkg_001,EB06-026TH|EB06-003TH,EB06-006TH|EB06-005TH,"{""0"": 17, ""1"": 14, ""2"": 11, ""3"": 8}",review_combined_manual_and_grade_packages_before_m45_02_acceptance
m45_01_m44_recipe_021_repair_review,m44_recipe_021,EB06-S06TH->EB10-012TH-B,EB06-S06TH,EB10-012TH-B,m44_recipe_021_manual_overlap_pkg_001,EB06-001TH|EB06-002TH|EB06-005TH|EB06-006TH|EB06-010TH|EB06-012TH,EB06-003TH|EB06-S01TH|EB06-011TH|EB06-021TH|EB06-S05TH|EB06-022TH,m44_recipe_021_grade_profile_pkg_001,EB06-026TH|EB06-003TH,EB06-006TH|EB06-005TH,"{""0"": 17, ""1"": 14, ""2"": 11, ""3"": 8}",review_combined_manual_and_grade_packages_before_m45_02_acceptance
m45_01_m44_recipe_022_repair_review,m44_recipe_022,EB06-S06TH->EB10-012TH-W,EB06-S06TH,EB10-012TH-W,m44_recipe_022_manual_overlap_pkg_001,EB06-001TH|EB06-002TH|EB06-005TH|EB06-006TH|EB06-010TH|EB06-012TH,EB06-003TH|EB06-S01TH|EB06-011TH|EB06-021TH|EB06-S05TH|EB06-022TH,m44_recipe_022_grade_profile_pkg_001,EB06-026TH|EB06-003TH,EB06-006TH|EB06-005TH,"{""0"": 17, ""1"": 14, ""2"": 11, ""3"": 8}",review_combined_manual_and_grade_packages_before_m45_02_acceptance
m45_01_m44_recipe_023_repair_review,m44_recipe_023,EB10-007TH-B->EB06-008TH,EB10-007TH-B,EB06-008TH,m44_recipe_023_manual_overlap_pkg_001,EB06-001TH|EB06-002TH|EB06-005TH|EB06-006TH|EB06-010TH|EB06-012TH,EB06-003TH|EB06-S01TH|EB06-011TH|EB06-021TH|EB06-S05TH|EB06-022TH,m44_recipe_023_grade_profile_pkg_001,EB06-026TH|EB06-011TH,EB06-006TH|EB06-001TH,"{""0"": 17, ""1"": 14, ""2"": 11, ""3"": 8}",review_combined_manual_and_grade_packages_before_m45_02_acceptance
m45_01_m44_recipe_024_repair_review,m44_recipe_024,EB10-007TH-B->EB06-011TH,EB10-007TH-B,EB06-011TH,m44_recipe_024_manual_overlap_pkg_001,EB06-001TH|EB06-002TH|EB06-005TH|EB06-006TH|EB06-010TH|EB06-012TH,EB06-003TH|EB06-S01TH|EB06-S05TH|EB06-021TH|EB06-018TH|EB06-022TH,m44_recipe_024_grade_profile_pkg_001,EB06-026TH|EB06-003TH,EB06-006TH|EB06-005TH,"{""0"": 17, ""1"": 14, ""2"": 11, ""3"": 8}",review_combined_manual_and_grade_packages_before_m45_02_acceptance
m45_01_m44_recipe_025_repair_review,m44_recipe_025,EB10-007TH-B->EB06-013TH,EB10-007TH-B,EB06-013TH,m44_recipe_025_manual_overlap_pkg_001,EB06-001TH|EB06-002TH|EB06-005TH|EB06-006TH|EB06-010TH|EB06-012TH,EB06-003TH|EB06-S01TH|EB06-011TH|EB06-021TH|EB06-S05TH|EB06-022TH,m44_recipe_025_grade_profile_pkg_001,EB06-026TH|EB06-011TH|EB06-003TH,EB06-006TH|EB06-012TH,"{""0"": 17, ""1"": 14, ""2"": 11, ""3"": 8}",review_combined_manual_and_grade_packages_before_m45_02_acceptance
