review_item_id,recipe_id,source_candidate_edge,source_card_id,target_card_id,manual_repair_package_id,manual_review_card_ids,manual_replacement_card_ids,grade_profile_package_id,grade_added_card_ids,grade_removed_card_ids,grade_counts_after,g_zone_package_id,g_zone_future_work_count,recommended_reviewer_action
m49_01_m48_recipe_001_repair_review,m48_recipe_001,G-CMB01-003TH->G-TD02-004TH,G-CMB01-003TH,G-TD02-004TH,m48_recipe_001_manual_overlap_pkg_001,G-BT01-024TH,G-BT01-047TH,m48_recipe_001_grade_profile_pkg_001,G-BT01-049TH|G-BT01-046TH|G-BT01-047TH|G-BT01-010TH|G-BT01-045TH,G-BT01-022TH|G-BT01-044TH,"{""0"": 17, ""1"": 14, ""2"": 11, ""3"": 8}",m48_recipe_001_g_zone_deferred_pkg_001,4,review_main_deck_repair_then_route_to_m49_02_g_zone_decision
m49_01_m48_recipe_002_repair_review,m48_recipe_002,G-CMB01-003TH->G-TD11-002TH,G-CMB01-003TH,G-TD11-002TH,m48_recipe_002_manual_overlap_pkg_001,G-BT01-024TH,G-BT01-047TH,m48_recipe_002_grade_profile_pkg_001,G-BT01-049TH|G-BT01-046TH|G-BT01-047TH|G-BT01-010TH|G-BT01-045TH,G-BT01-022TH|G-BT01-044TH,"{""0"": 17, ""1"": 14, ""2"": 11, ""3"": 8}",m48_recipe_002_g_zone_deferred_pkg_001,4,review_main_deck_repair_then_route_to_m49_02_g_zone_decision
m49_01_m48_recipe_003_repair_review,m48_recipe_003,G-CMB01-028TH->G-BT01-045TH,G-CMB01-028TH,G-BT01-045TH,m48_recipe_003_manual_overlap_pkg_001,G-BT01-024TH,G-BT01-047TH,m48_recipe_003_grade_profile_pkg_001,G-BT01-049TH|G-BT01-046TH|G-BT01-047TH,G-BT01-010TH|G-BT01-023TH,"{""0"": 17, ""1"": 14, ""2"": 11, ""3"": 8}",m48_recipe_003_g_zone_deferred_pkg_001,4,review_main_deck_repair_then_route_to_m49_02_g_zone_decision
m49_01_m48_recipe_004_repair_review,m48_recipe_004,G-BT14-006TH->G-BT01-045TH,G-BT14-006TH,G-BT01-045TH,m48_recipe_004_manual_overlap_pkg_001,G-BT01-024TH,G-BT01-047TH,m48_recipe_004_grade_profile_pkg_001,G-BT01-049TH|G-BT01-046TH|G-BT01-047TH,G-BT01-010TH|G-BT01-022TH,"{""0"": 17, ""1"": 14, ""2"": 11, ""3"": 8}",m48_recipe_004_g_zone_deferred_pkg_001,4,review_main_deck_repair_then_route_to_m49_02_g_zone_decision
m49_01_m48_recipe_005_repair_review,m48_recipe_005,G-CHB01-004TH->G-BT02-044TH,G-CHB01-004TH,G-BT02-044TH,m48_recipe_005_manual_overlap_pkg_001,G-BT01-024TH,G-BT01-047TH,m48_recipe_005_grade_profile_pkg_001,G-BT01-049TH|G-BT01-046TH|G-BT01-047TH,G-BT01-010TH|G-BT01-022TH,"{""0"": 17, ""1"": 14, ""2"": 11, ""3"": 8}",m48_recipe_005_g_zone_deferred_pkg_001,4,review_main_deck_repair_then_route_to_m49_02_g_zone_decision
m49_01_m48_recipe_006_repair_review,m48_recipe_006,G-CMB01-003TH->G-BT01-045TH,G-CMB01-003TH,G-BT01-045TH,m48_recipe_006_manual_overlap_pkg_001,G-BT01-024TH,G-BT01-047TH,m48_recipe_006_grade_profile_pkg_001,G-BT01-049TH|G-BT01-046TH|G-BT01-047TH,G-BT01-010TH|G-BT01-022TH,"{""0"": 17, ""1"": 14, ""2"": 11, ""3"": 8}",m48_recipe_006_g_zone_deferred_pkg_001,4,review_main_deck_repair_then_route_to_m49_02_g_zone_decision
m49_01_m48_recipe_007_repair_review,m48_recipe_007,G-BT08-025TH->G-BT01-048TH,G-BT08-025TH,G-BT01-048TH,m48_recipe_007_manual_overlap_pkg_001,G-BT01-024TH,G-BT01-047TH,m48_recipe_007_grade_profile_pkg_001,G-BT01-049TH|G-BT01-010TH|G-BT01-045TH,G-BT01-024TH|G-BT01-011TH,"{""0"": 17, ""1"": 14, ""2"": 11, ""3"": 8}",m48_recipe_007_g_zone_deferred_pkg_001,4,review_main_deck_repair_then_route_to_m49_02_g_zone_decision
m49_01_m48_recipe_008_repair_review,m48_recipe_008,G-BT08-025TH->G-BT06-024TH,G-BT08-025TH,G-BT06-024TH,m48_recipe_008_manual_overlap_pkg_001,G-BT01-024TH,G-BT01-047TH,m48_recipe_008_grade_profile_pkg_001,G-BT01-049TH,G-BT01-010TH,"{""0"": 17, ""1"": 14, ""2"": 11, ""3"": 8}",m48_recipe_008_g_zone_deferred_pkg_001,4,review_main_deck_repair_then_route_to_m49_02_g_zone_decision
m49_01_m48_recipe_009_repair_review,m48_recipe_009,G-BT08-025TH->G-BT08-048TH,G-BT08-025TH,G-BT08-048TH,m48_recipe_009_manual_overlap_pkg_001,G-BT01-024TH,G-BT01-047TH,m48_recipe_009_grade_profile_pkg_001,G-BT01-049TH|G-BT01-010TH|G-BT01-045TH,G-BT01-024TH|G-BT01-011TH,"{""0"": 17, ""1"": 14, ""2"": 11, ""3"": 8}",m48_recipe_009_g_zone_deferred_pkg_001,4,review_main_deck_repair_then_route_to_m49_02_g_zone_decision
m49_01_m48_recipe_010_repair_review,m48_recipe_010,G-BT08-025TH->G-CMB01-013TH,G-BT08-025TH,G-CMB01-013TH,m48_recipe_010_manual_overlap_pkg_001,G-BT01-024TH,G-BT01-047TH,m48_recipe_010_grade_profile_pkg_001,G-BT01-049TH|G-BT01-010TH|G-BT01-045TH,G-BT01-022TH,"{""0"": 17, ""1"": 14, ""2"": 11, ""3"": 8}",m48_recipe_010_g_zone_deferred_pkg_001,4,review_main_deck_repair_then_route_to_m49_02_g_zone_decision
m49_01_m48_recipe_011_repair_review,m48_recipe_011,G-BT08-025TH->G-CMB01-014TH,G-BT08-025TH,G-CMB01-014TH,m48_recipe_011_manual_overlap_pkg_001,G-BT01-024TH,G-BT01-047TH,m48_recipe_011_grade_profile_pkg_001,G-BT01-049TH|G-BT01-010TH|G-BT01-045TH,G-BT01-022TH,"{""0"": 17, ""1"": 14, ""2"": 11, ""3"": 8}",m48_recipe_011_g_zone_deferred_pkg_001,4,review_main_deck_repair_then_route_to_m49_02_g_zone_decision
m49_01_m48_recipe_012_repair_review,m48_recipe_012,G-BT08-025TH->G-TD02-006TH,G-BT08-025TH,G-TD02-006TH,m48_recipe_012_manual_overlap_pkg_001,G-BT01-024TH,G-BT01-047TH,m48_recipe_012_grade_profile_pkg_001,G-BT01-049TH,G-BT01-010TH,"{""0"": 17, ""1"": 14, ""2"": 11, ""3"": 8}",m48_recipe_012_g_zone_deferred_pkg_001,4,review_main_deck_repair_then_route_to_m49_02_g_zone_decision
m49_01_m48_recipe_013_repair_review,m48_recipe_013,G-BT08-025TH->G-TD02-012TH,G-BT08-025TH,G-TD02-012TH,m48_recipe_013_manual_overlap_pkg_001,G-BT01-024TH,G-BT01-047TH,m48_recipe_013_grade_profile_pkg_001,G-BT01-049TH|G-BT01-010TH|G-BT01-045TH,G-BT01-024TH|G-BT01-011TH,"{""0"": 17, ""1"": 14, ""2"": 11, ""3"": 8}",m48_recipe_013_g_zone_deferred_pkg_001,4,review_main_deck_repair_then_route_to_m49_02_g_zone_decision
m49_01_m48_recipe_014_repair_review,m48_recipe_014,G-LD03-011TH->G-BT01-045TH,G-LD03-011TH,G-BT01-045TH,m48_recipe_014_manual_overlap_pkg_001,G-BT01-024TH,G-BT01-047TH,m48_recipe_014_grade_profile_pkg_001,G-BT01-049TH,G-BT01-010TH,"{""0"": 17, ""1"": 14, ""2"": 11, ""3"": 8}",m48_recipe_014_g_zone_deferred_pkg_001,4,review_main_deck_repair_then_route_to_m49_02_g_zone_decision
m49_01_m48_recipe_015_repair_review,m48_recipe_015,G-BT01-010TH->G-BT02-044TH,G-BT01-010TH,G-BT02-044TH,m48_recipe_015_manual_overlap_pkg_001,G-BT01-024TH,G-BT01-048TH,m48_recipe_015_grade_profile_pkg_001,G-BT01-049TH|G-BT01-046TH|G-BT01-047TH,G-BT01-023TH,"{""0"": 17, ""1"": 14, ""2"": 11, ""3"": 8}",m48_recipe_015_g_zone_deferred_pkg_001,4,review_main_deck_repair_then_route_to_m49_02_g_zone_decision
m49_01_m48_recipe_016_repair_review,m48_recipe_016,G-BT01-011TH->G-BT01-046TH,G-BT01-011TH,G-BT01-046TH,m48_recipe_016_manual_overlap_pkg_001,G-BT01-024TH,G-BT01-048TH,m48_recipe_016_grade_profile_pkg_001,,,{},m48_recipe_016_g_zone_deferred_pkg_001,4,review_main_deck_repair_then_route_to_m49_02_g_zone_decision
m49_01_m48_recipe_017_repair_review,m48_recipe_017,G-BT01-011TH->G-BT06-003TH,G-BT01-011TH,G-BT06-003TH,m48_recipe_017_manual_overlap_pkg_001,G-BT01-024TH,G-BT01-047TH,m48_recipe_017_grade_profile_pkg_001,G-BT01-049TH|G-BT01-046TH|G-BT01-047TH,G-BT01-010TH,"{""0"": 17, ""1"": 14, ""2"": 11, ""3"": 8}",m48_recipe_017_g_zone_deferred_pkg_001,4,review_main_deck_repair_then_route_to_m49_02_g_zone_decision
m49_01_m48_recipe_018_repair_review,m48_recipe_018,G-BT01-011TH->G-BT06-023TH,G-BT01-011TH,G-BT06-023TH,m48_recipe_018_manual_overlap_pkg_001,G-BT01-024TH,G-BT01-047TH,m48_recipe_018_grade_profile_pkg_001,G-BT01-049TH|G-BT01-046TH|G-BT01-047TH,G-BT01-022TH,"{""0"": 17, ""1"": 14, ""2"": 11, ""3"": 8}",m48_recipe_018_g_zone_deferred_pkg_001,4,review_main_deck_repair_then_route_to_m49_02_g_zone_decision
m49_01_m48_recipe_019_repair_review,m48_recipe_019,G-BT01-011TH->G-BT06-024TH,G-BT01-011TH,G-BT06-024TH,m48_recipe_019_manual_overlap_pkg_001,G-BT01-024TH,G-BT01-047TH,m48_recipe_019_grade_profile_pkg_001,G-BT01-049TH|G-BT01-046TH|G-BT01-047TH,G-BT01-010TH,"{""0"": 17, ""1"": 14, ""2"": 11, ""3"": 8}",m48_recipe_019_g_zone_deferred_pkg_001,4,review_main_deck_repair_then_route_to_m49_02_g_zone_decision
m49_01_m48_recipe_020_repair_review,m48_recipe_020,G-BT01-011TH->G-BT06-045TH,G-BT01-011TH,G-BT06-045TH,m48_recipe_020_manual_overlap_pkg_001,G-BT01-024TH,G-BT01-047TH,m48_recipe_020_grade_profile_pkg_001,G-BT01-049TH|G-BT01-046TH|G-BT01-047TH,G-BT01-010TH,"{""0"": 17, ""1"": 14, ""2"": 11, ""3"": 8}",m48_recipe_020_g_zone_deferred_pkg_001,4,review_main_deck_repair_then_route_to_m49_02_g_zone_decision
m49_01_m48_recipe_021_repair_review,m48_recipe_021,G-BT01-011TH->G-BT08-048TH,G-BT01-011TH,G-BT08-048TH,m48_recipe_021_manual_overlap_pkg_001,G-BT01-024TH,G-BT01-047TH,m48_recipe_021_grade_profile_pkg_001,G-BT01-049TH,G-BT01-024TH,"{""0"": 17, ""1"": 14, ""2"": 11, ""3"": 8}",m48_recipe_021_g_zone_deferred_pkg_001,4,review_main_deck_repair_then_route_to_m49_02_g_zone_decision
m49_01_m48_recipe_022_repair_review,m48_recipe_022,G-BT01-011TH->G-BT14-015TH,G-BT01-011TH,G-BT14-015TH,m48_recipe_022_manual_overlap_pkg_001,G-BT01-024TH,G-BT01-047TH,m48_recipe_022_grade_profile_pkg_001,G-BT01-049TH|G-BT01-046TH|G-BT01-047TH,G-BT01-010TH,"{""0"": 17, ""1"": 14, ""2"": 11, ""3"": 8}",m48_recipe_022_g_zone_deferred_pkg_001,4,review_main_deck_repair_then_route_to_m49_02_g_zone_decision
m49_01_m48_recipe_023_repair_review,m48_recipe_023,G-BT01-011TH->G-CHB01-006TH,G-BT01-011TH,G-CHB01-006TH,m48_recipe_023_manual_overlap_pkg_001,G-BT01-024TH,G-BT01-047TH,m48_recipe_023_grade_profile_pkg_001,G-BT01-049TH|G-BT01-046TH|G-BT01-047TH,G-BT01-010TH,"{""0"": 17, ""1"": 14, ""2"": 11, ""3"": 8}",m48_recipe_023_g_zone_deferred_pkg_001,4,review_main_deck_repair_then_route_to_m49_02_g_zone_decision
m49_01_m48_recipe_024_repair_review,m48_recipe_024,G-BT01-011TH->G-CHB01-047TH,G-BT01-011TH,G-CHB01-047TH,m48_recipe_024_manual_overlap_pkg_001,G-BT01-024TH,G-BT01-047TH,m48_recipe_024_grade_profile_pkg_001,G-BT01-049TH,G-BT01-024TH,"{""0"": 17, ""1"": 14, ""2"": 11, ""3"": 8}",m48_recipe_024_g_zone_deferred_pkg_001,4,review_main_deck_repair_then_route_to_m49_02_g_zone_decision
m49_01_m48_recipe_025_repair_review,m48_recipe_025,G-BT01-011TH->G-CMB01-004TH,G-BT01-011TH,G-CMB01-004TH,m48_recipe_025_manual_overlap_pkg_001,G-BT01-024TH,G-BT01-047TH,m48_recipe_025_grade_profile_pkg_001,G-BT01-049TH|G-BT01-046TH|G-BT01-047TH,G-BT01-010TH,"{""0"": 17, ""1"": 14, ""2"": 11, ""3"": 8}",m48_recipe_025_g_zone_deferred_pkg_001,4,review_main_deck_repair_then_route_to_m49_02_g_zone_decision
