review_item_id,recipe_id,source_candidate_edge,source_card_id,target_card_id,manual_overlap_package_id,manual_remove_card_ids,manual_replacement_card_ids,grade_profile_package_id,grade_added_card_ids,grade_removed_card_ids,g_zone_package_id,recommended_reviewer_action
m57_01_m56_recipe_001_repair_review,m56_recipe_001,G-BT12-062TH->G-BT12-066TH,G-BT12-062TH,G-BT12-066TH,m56_recipe_001_manual_overlap_pkg_001,G-BT09-014TH|G-BT09-026TH|G-BT09-027TH|G-BT09-028TH|G-BT09-029TH|G-BT09-059TH|G-BT09-064TH,G-TD10-009TH|G-TD10-002TH|G-TD10-003TH|G-TD10-005TH|G-TD10-010TH|G-TD10-009TH|G-TD10-016TH,m56_recipe_001_grade_profile_pkg_001,G-TD10-013TH|G-TD10-005TH,G-BT09-026TH,m56_recipe_001_g_zone_deferred_pkg_001,select_one_recipe_review_manual_grade_repairs_and_record_g_zone_decision_before_m57_02
m57_01_m56_recipe_002_repair_review,m56_recipe_002,G-BT10-026TH->G-BT09-058TH,G-BT10-026TH,G-BT09-058TH,m56_recipe_002_manual_overlap_pkg_001,G-BT09-014TH|G-BT09-026TH|G-BT09-027TH|G-BT09-028TH|G-BT09-029TH|G-BT09-059TH|G-BT09-064TH,G-TD10-009TH|G-TD10-002TH|G-TD10-003TH|G-TD10-005TH|G-TD10-010TH|G-TD10-009TH|G-TD10-016TH,m56_recipe_002_grade_profile_pkg_001,G-TD10-005TH,G-BT09-014TH,m56_recipe_002_g_zone_deferred_pkg_001,select_one_recipe_review_manual_grade_repairs_and_record_g_zone_decision_before_m57_02
m57_01_m56_recipe_003_repair_review,m56_recipe_003,G-BT10-026TH->G-BT09-060TH,G-BT10-026TH,G-BT09-060TH,m56_recipe_003_manual_overlap_pkg_001,G-BT09-014TH|G-BT09-026TH|G-BT09-027TH|G-BT09-028TH|G-BT09-029TH|G-BT09-059TH|G-BT09-064TH,G-TD10-009TH|G-TD10-002TH|G-TD10-003TH|G-TD10-005TH|G-TD10-010TH|G-TD10-009TH|G-TD10-016TH,m56_recipe_003_grade_profile_pkg_001,G-TD10-013TH|G-TD10-005TH|G-TD10-002TH,G-BT09-014TH|G-BT09-029TH,m56_recipe_003_g_zone_deferred_pkg_001,select_one_recipe_review_manual_grade_repairs_and_record_g_zone_decision_before_m57_02
m57_01_m56_recipe_004_repair_review,m56_recipe_004,G-BT10-026TH->G-BT09-062TH,G-BT10-026TH,G-BT09-062TH,m56_recipe_004_manual_overlap_pkg_001,G-BT09-014TH|G-BT09-026TH|G-BT09-027TH|G-BT09-028TH|G-BT09-029TH|G-BT09-059TH|G-BT09-064TH,G-TD10-009TH|G-TD10-002TH|G-TD10-003TH|G-TD10-005TH|G-TD10-010TH|G-TD10-009TH|G-TD10-016TH,m56_recipe_004_grade_profile_pkg_001,G-TD10-005TH|G-TD10-002TH,G-BT09-064TH,m56_recipe_004_g_zone_deferred_pkg_001,select_one_recipe_review_manual_grade_repairs_and_record_g_zone_decision_before_m57_02
m57_01_m56_recipe_005_repair_review,m56_recipe_005,G-BT10-026TH->G-BT12-031TH,G-BT10-026TH,G-BT12-031TH,m56_recipe_005_manual_overlap_pkg_001,G-BT09-014TH|G-BT09-026TH|G-BT09-027TH|G-BT09-028TH|G-BT09-029TH|G-BT09-059TH|G-BT09-064TH,G-TD10-009TH|G-TD10-002TH|G-TD10-003TH|G-TD10-005TH|G-TD10-010TH|G-TD10-009TH|G-TD10-016TH,m56_recipe_005_grade_profile_pkg_001,G-TD10-013TH|G-TD10-002TH,G-BT09-028TH,m56_recipe_005_g_zone_deferred_pkg_001,select_one_recipe_review_manual_grade_repairs_and_record_g_zone_decision_before_m57_02
m57_01_m56_recipe_006_repair_review,m56_recipe_006,G-BT10-026TH->G-BT12-065TH,G-BT10-026TH,G-BT12-065TH,m56_recipe_006_manual_overlap_pkg_001,G-BT09-014TH|G-BT09-026TH|G-BT09-027TH|G-BT09-028TH|G-BT09-029TH|G-BT09-059TH|G-BT09-064TH,G-TD10-009TH|G-TD10-002TH|G-TD10-003TH|G-TD10-005TH|G-TD10-010TH|G-TD10-009TH|G-TD10-016TH,m56_recipe_006_grade_profile_pkg_001,G-TD10-013TH|G-TD10-005TH|G-TD10-002TH,G-BT09-014TH|G-BT09-029TH,m56_recipe_006_g_zone_deferred_pkg_001,select_one_recipe_review_manual_grade_repairs_and_record_g_zone_decision_before_m57_02
m57_01_m56_recipe_007_repair_review,m56_recipe_007,G-BT10-026TH->G-TD10-010TH,G-BT10-026TH,G-TD10-010TH,m56_recipe_007_manual_overlap_pkg_001,G-BT09-014TH|G-BT09-026TH|G-BT09-027TH|G-BT09-028TH|G-BT09-029TH|G-BT09-059TH|G-BT09-064TH,G-TD10-009TH|G-TD10-002TH|G-TD10-003TH|G-TD10-005TH|G-TD10-011TH|G-TD10-009TH|G-TD10-016TH,m56_recipe_007_grade_profile_pkg_001,G-TD10-013TH|G-TD10-005TH|G-TD10-002TH,G-BT09-014TH|G-BT09-029TH,m56_recipe_007_g_zone_deferred_pkg_001,select_one_recipe_review_manual_grade_repairs_and_record_g_zone_decision_before_m57_02
m57_01_m56_recipe_008_repair_review,m56_recipe_008,G-BT12-062TH->G-BT09-058TH,G-BT12-062TH,G-BT09-058TH,m56_recipe_008_manual_overlap_pkg_001,G-BT09-014TH|G-BT09-026TH|G-BT09-027TH|G-BT09-028TH|G-BT09-029TH|G-BT09-059TH|G-BT09-064TH,G-TD10-009TH|G-TD10-002TH|G-TD10-003TH|G-TD10-005TH|G-TD10-010TH|G-TD10-009TH|G-TD10-016TH,m56_recipe_008_grade_profile_pkg_001,G-TD10-009TH|G-TD10-005TH,G-BT09-026TH,m56_recipe_008_g_zone_deferred_pkg_001,select_one_recipe_review_manual_grade_repairs_and_record_g_zone_decision_before_m57_02
m57_01_m56_recipe_009_repair_review,m56_recipe_009,G-BT12-062TH->G-BT09-060TH,G-BT12-062TH,G-BT09-060TH,m56_recipe_009_manual_overlap_pkg_001,G-BT09-014TH|G-BT09-026TH|G-BT09-027TH|G-BT09-028TH|G-BT09-029TH|G-BT09-059TH|G-BT09-064TH,G-TD10-009TH|G-TD10-002TH|G-TD10-003TH|G-TD10-005TH|G-TD10-010TH|G-TD10-009TH|G-TD10-016TH,m56_recipe_009_grade_profile_pkg_001,G-TD10-013TH|G-TD10-005TH,G-BT09-026TH,m56_recipe_009_g_zone_deferred_pkg_001,select_one_recipe_review_manual_grade_repairs_and_record_g_zone_decision_before_m57_02
m57_01_m56_recipe_010_repair_review,m56_recipe_010,G-BT12-062TH->G-BT09-062TH,G-BT12-062TH,G-BT09-062TH,m56_recipe_010_manual_overlap_pkg_001,G-BT09-014TH|G-BT09-026TH|G-BT09-027TH|G-BT09-028TH|G-BT09-029TH|G-BT09-059TH|G-BT09-064TH,G-TD10-009TH|G-TD10-002TH|G-TD10-003TH|G-TD10-005TH|G-TD10-010TH|G-TD10-009TH|G-TD10-016TH,m56_recipe_010_grade_profile_pkg_001,G-TD10-009TH|G-TD10-005TH,G-BT09-064TH|G-BT09-026TH,m56_recipe_010_g_zone_deferred_pkg_001,select_one_recipe_review_manual_grade_repairs_and_record_g_zone_decision_before_m57_02
m57_01_m56_recipe_011_repair_review,m56_recipe_011,G-BT12-062TH->G-BT12-065TH,G-BT12-062TH,G-BT12-065TH,m56_recipe_011_manual_overlap_pkg_001,G-BT09-014TH|G-BT09-026TH|G-BT09-027TH|G-BT09-028TH|G-BT09-029TH|G-BT09-059TH|G-BT09-064TH,G-TD10-009TH|G-TD10-002TH|G-TD10-003TH|G-TD10-005TH|G-TD10-010TH|G-TD10-009TH|G-TD10-016TH,m56_recipe_011_grade_profile_pkg_001,G-TD10-013TH|G-TD10-005TH,G-BT09-026TH,m56_recipe_011_g_zone_deferred_pkg_001,select_one_recipe_review_manual_grade_repairs_and_record_g_zone_decision_before_m57_02
m57_01_m56_recipe_012_repair_review,m56_recipe_012,G-BT12-062TH->G-TD10-010TH,G-BT12-062TH,G-TD10-010TH,m56_recipe_012_manual_overlap_pkg_001,G-BT09-014TH|G-BT09-026TH|G-BT09-027TH|G-BT09-028TH|G-BT09-029TH|G-BT09-059TH|G-BT09-064TH,G-TD10-009TH|G-TD10-002TH|G-TD10-003TH|G-TD10-005TH|G-TD10-011TH|G-TD10-009TH|G-TD10-016TH,m56_recipe_012_grade_profile_pkg_001,G-TD10-013TH|G-TD10-005TH,G-BT09-026TH,m56_recipe_012_g_zone_deferred_pkg_001,select_one_recipe_review_manual_grade_repairs_and_record_g_zone_decision_before_m57_02
